경기번호,경기일자,홈팀,원정팀,홈팀득점,원정팀득점,,승자,홈(1)/원정(2)
75,2010-12-05,대구오리온스,인천전자랜드,84,89,,인천전자랜드,2
76,2010-12-07,대구오리온스,전주KCC,89,94,,전주KCC,2
77,2010-12-07,서울삼성,안양한국인삼공사,73,61,,서울삼성,1
78,2010-12-08,서울SK,인천전자랜드,73,83,,인천전자랜드,2
79,2010-12-08,울산모비스,원주동부,78,91,,원주동부,2
80,2010-12-09,부산KT,대구오리온스,88,72,,부산KT,1
81,2010-12-09,서울삼성,창원LG,86,103,,창원LG,2
82,2010-12-10,안양한국인삼공사,서울SK,77,64,,안양한국인삼공사,1
83,2010-12-10,원주동부,인천전자랜드,89,64,,원주동부,1
84,2010-12-11,창원LG,울산모비스,92,81,,창원LG,1
85,2010-12-11,전주KCC,부산KT,74,87,,부산KT,2
86,2010-12-11,대구오리온스,서울삼성,73,70,,대구오리온스,1
87,2010-12-12,인천전자랜드,창원LG,72,76,,창원LG,2
88,2010-12-12,안양한국인삼공사,울산모비스,89,86,,안양한국인삼공사,1
89,2010-12-12,서울SK,원주동부,88,93,,원주동부,2
90,2010-12-14,부산KT,울산모비스,80,63,,부산KT,1
91,2010-12-14,대구오리온스,전주KCC,67,89,,전주KCC,2
92,2010-12-15,창원LG,원주동부,70,77,,원주동부,2
93,2010-12-15,인천전자랜드,서울삼성,89,83,,인천전자랜드,1
94,2010-12-16,서울SK,대구오리온스,84,72,,서울SK,1
95,2010-12-16,안양한국인삼공사,전주KCC,80,92,,전주KCC,2
96,2010-12-17,서울삼성,부산KT,102,99,,서울삼성,1
97,2010-12-17,창원LG,울산모비스,82,67,,창원LG,1
98,2010-12-18,전주KCC,서울SK,79,74,,전주KCC,1
99,2010-12-18,원주동부,안양한국인삼공사,81,75,,원주동부,1
100,2010-12-18,대구오리온스,인천전자랜드,75,88,,인천전자랜드,2
101,2010-12-19,서울SK,서울삼성,92,90,,서울SK,1
102,2010-12-19,창원LG,안양한국인삼공사,73,85,,안양한국인삼공사,2
103,2010-12-19,부산KT,울산모비스,69,79,,울산모비스,2
104,2010-12-21,울산모비스,대구오리온스,79,84,,대구오리온스,2
105,2010-12-21,전주KCC,인천전자랜드,87,71,,전주KCC,1
106,2010-12-22,서울SK,부산KT,67,89,,부산KT,2
107,2010-12-22,안양한국인삼공사,서울삼성,95,79,,안양한국인삼공사,1
108,2010-12-23,울산모비스,전주KCC,71,84,,전주KCC,2
109,2010-12-23,대구오리온스,원주동부,69,80,,원주동부,2
110,2010-12-24,서울SK,안양한국인삼공사,89,85,,서울SK,1
111,2010-12-25,전주KCC,서울삼성,80,72,,전주KCC,1
112,2010-12-25,원주동부,울산모비스,68,70,,울산모비스,2
113,2010-12-25,창원LG,인천전자랜드,72,74,,인천전자랜드,2
114,2010-12-25,부산KT,대구오리온스,80,72,,부산KT,1
115,2010-12-26,창원LG,서울SK,81,71,,창원LG,1
116,2010-12-26,인천전자랜드,원주동부,65,61,,인천전자랜드,1
117,2010-12-26,안양한국인삼공사,부산KT,76,90,,부산KT,2
118,2010-12-28,울산모비스,서울SK,63,71,,서울SK,2
119,2010-12-28,대구오리온스,창원LG,68,80,,창원LG,2
120,2010-12-29,서울삼성,원주동부,84,86,,원주동부,2
121,2010-12-29,전주KCC,부산KT,108,113,,부산KT,2
122,2010-12-30,인천전자랜드,울산모비스,68,70,,울산모비스,2
123,2010-12-30,안양한국인삼공사,대구오리온스,72,84,,대구오리온스,2
124,2010-12-31,창원LG,부산KT,68,79,,부산KT,2
125,2010-12-31,원주동부,전주KCC,74,76,,전주KCC,2
126,2011-01-01,서울SK,인천전자랜드,72,91,,인천전자랜드,2
127,2011-01-01,대구오리온스,서울삼성,87,89,,서울삼성,2
128,2011-01-01,울산모비스,안양한국인삼공사,75,70,,울산모비스,1
129,2011-01-02,서울삼성,창원LG,88,76,,서울삼성,1
130,2011-01-02,부산KT,원주동부,58,77,,원주동부,2
131,2011-01-02,인천전자랜드,안양한국인삼공사,87,70,,인천전자랜드,1
132,2011-01-04,서울삼성,울산모비스,88,80,,서울삼성,1
133,2011-01-04,창원LG,전주KCC,78,95,,전주KCC,2
134,2011-01-05,인천전자랜드,부산KT,65,74,,부산KT,2
135,2011-01-05,원주동부,서울SK,83,63,,원주동부,1
136,2011-01-06,서울삼성,안양한국인삼공사,95,88,,서울삼성,1
137,2011-01-06,전주KCC,울산모비스,76,73,,전주KCC,1
138,2011-01-07,부산KT,원주동부,71,63,,부산KT,1
139,2011-01-07,대구오리온스,창원LG,64,79,,창원LG,2
140,2011-01-08,인천전자랜드,서울SK,83,66,,인천전자랜드,1
141,2011-01-08,안양한국인삼공사,전주KCC,59,70,,전주KCC,2
142,2011-01-08,서울삼성,울산모비스,69,73,,울산모비스,2
143,2011-01-09,서울SK,부산KT,65,86,,부산KT,2
144,2011-01-09,창원LG,안양한국인삼공사,80,83,,안양한국인삼공사,2
145,2011-01-09,원주동부,대구오리온스,81,64,,원주동부,1
146,2011-01-11,서울SK,전주KCC,71,80,,전주KCC,2
147,2011-01-11,인천전자랜드,안양한국인삼공사,77,66,,인천전자랜드,1
148,2011-01-12,창원LG,서울삼성,83,70,,창원LG,1
149,2011-01-12,대구오리온스,부산KT,73,87,,부산KT,2
150,2011-01-13,울산모비스,서울SK,80,78,,울산모비스,1
151,2011-01-13,원주동부,인천전자랜드,75,76,,인천전자랜드,2
152,2011-01-14,서울삼성,전주KCC,107,109,,전주KCC,2
153,2011-01-14,안양한국인삼공사,부산KT,74,94,,부산KT,2
154,2011-01-15,원주동부,울산모비스,56,57,,울산모비스,2
155,2011-01-15,인천전자랜드,대구오리온스,78,83,,대구오리온스,2
156,2011-01-15,창원LG,서울SK,83,67,,창원LG,1
157,2011-01-16,서울삼성,대구오리온스,102,98,,서울삼성,1
158,2011-01-16,안양한국인삼공사,원주동부,60,66,,원주동부,2
159,2011-01-16,부산KT,전주KCC,96,91,,부산KT,1
160,2011-01-18,부산KT,서울삼성,68,83,,서울삼성,2
161,2011-01-18,전주KCC,원주동부,86,67,,전주KCC,1
162,2011-01-19,울산모비스,인천전자랜드,66,57,,울산모비스,1
163,2011-01-19,대구오리온스,안양한국인삼공사,57,75,,안양한국인삼공사,2
164,2011-01-20,서울삼성,서울SK,84,65,,서울삼성,1
165,2011-01-20,창원LG,원주동부,72,66,,창원LG,1
166,2011-01-21,부산KT,인천전자랜드,82,69,,부산KT,1
167,2011-01-21,대구오리온스,울산모비스,70,80,,울산모비스,2
168,2011-01-22,안양한국인삼공사,서울SK,72,79,,서울SK,2
169,2011-01-22,원주동부,서울삼성,90,94,,서울삼성,2
170,2011-01-22,전주KCC,창원LG,90,80,,전주KCC,1
171,2011-01-23,울산모비스,부산KT,68,77,,부산KT,2
172,2011-01-23,서울SK,대구오리온스,82,62,,서울SK,1
173,2011-01-23,인천전자랜드,전주KCC,78,65,,인천전자랜드,1
174,2011-01-25,서울삼성,인천전자랜드,83,102,,인천전자랜드,2
175,2011-01-25,창원LG,울산모비스,78,79,,울산모비스,2
176,2011-01-26,원주동부,서울SK,77,80,,서울SK,2
177,2011-01-26,전주KCC,대구오리온스,89,80,,전주KCC,1
178,2011-01-27,부산KT,창원LG,86,83,,부산KT,1
179,2011-01-27,안양한국인삼공사,울산모비스,90,85,,안양한국인삼공사,1
180,2011-02-03,인천전자랜드,창원LG,78,73,,인천전자랜드,1
181,2011-02-03,안양한국인삼공사,울산모비스,75,84,,울산모비스,2
182,2011-02-04,서울SK,부산KT,69,83,,부산KT,2
183,2011-02-04,전주KCC,원주동부,77,70,,전주KCC,1
184,2011-02-05,울산모비스,서울삼성,65,67,,서울삼성,2
185,2011-02-05,창원LG,대구오리온스,78,65,,창원LG,1
186,2011-02-05,안양한국인삼공사,인천전자랜드,77,80,,인천전자랜드,2
187,2011-02-06,서울삼성,원주동부,61,65,,원주동부,2
188,2011-02-06,대구오리온스,서울SK,61,60,,대구오리온스,1
189,2011-02-06,부산KT,전주KCC,76,79,,전주KCC,2
190,2011-02-08,창원LG,전주KCC,81,83,,전주KCC,2
191,2011-02-08,서울SK,안양한국인삼공사,66,81,,안양한국인삼공사,2
192,2011-02-09,부산KT,인천전자랜드,86,77,,부산KT,1
193,2011-02-09,원주동부,울산모비스,76,67,,원주동부,1
194,2011-02-10,안양한국인삼공사,대구오리온스,68,58,,안양한국인삼공사,1
195,2011-02-10,서울삼성,전주KCC,60,73,,전주KCC,2
196,2011-02-11,울산모비스,부산KT,81,87,,부산KT,2
197,2011-02-11,인천전자랜드,원주동부,49,52,,원주동부,2
198,2011-02-12,대구오리온스,서울삼성,70,72,,서울삼성,2
199,2011-02-12,창원LG,안양한국인삼공사,78,65,,창원LG,1
200,2011-02-12,전주KCC,서울SK,92,79,,전주KCC,1
201,2011-02-13,원주동부,부산KT,69,67,,원주동부,1
202,2011-02-13,울산모비스,대구오리온스,69,76,,대구오리온스,2
203,2011-02-13,인천전자랜드,창원LG,88,82,,인천전자랜드,1
204,2011-02-15,대구오리온스,인천전자랜드,75,78,,인천전자랜드,2
205,2011-02-15,원주동부,창원LG,76,64,,원주동부,1
206,2011-02-16,울산모비스,서울SK,63,78,,서울SK,2
207,2011-02-16,안양한국인삼공사,서울삼성,77,63,,안양한국인삼공사,1
208,2011-02-17,전주KCC,인천전자랜드,75,94,,인천전자랜드,2
209,2011-02-17,원주동부,대구오리온스,73,67,,원주동부,1
210,2011-02-18,서울SK,창원LG,80,89,,창원LG,2
211,2011-02-18,부산KT,서울삼성,99,75,,부산KT,1
212,2011-02-19,인천전자랜드,울산모비스,78,70,,인천전자랜드,1
213,2011-02-19,전주KCC,대구오리온스,92,76,,전주KCC,1
214,2011-02-19,안양한국인삼공사,원주동부,72,62,,안양한국인삼공사,1
215,2011-02-20,서울삼성,서울SK,69,75,,서울SK,2
216,2011-02-20,울산모비스,전주KCC,86,96,,전주KCC,2
217,2011-02-20,창원LG,부산KT,81,68,,창원LG,1
218,2011-02-22,창원LG,서울삼성,92,81,,창원LG,1
219,2011-02-22,서울SK,인천전자랜드,79,92,,인천전자랜드,2
220,2011-02-23,대구오리온스,부산KT,60,68,,부산KT,2
221,2011-02-23,전주KCC,안양한국인삼공사,76,71,,전주KCC,1
222,2011-02-24,인천전자랜드,서울삼성,71,74,,서울삼성,2
223,2011-02-24,서울SK,원주동부,63,96,,원주동부,2
224,2011-02-25,울산모비스,창원LG,64,74,,창원LG,2
225,2011-02-25,안양한국인삼공사,부산KT,64,76,,부산KT,2
226,2011-02-26,서울삼성,전주KCC,100,86,,서울삼성,1
227,2011-02-26,인천전자랜드,대구오리온스,78,69,,인천전자랜드,1
228,2011-02-26,서울SK,원주동부,63,71,,원주동부,2
229,2011-02-27,부산KT,안양한국인삼공사,80,64,,부산KT,1
230,2011-02-27,대구오리온스,울산모비스,63,88,,울산모비스,2
231,2011-02-27,전주KCC,창원LG,81,74,,전주KCC,1
232,2011-03-01,창원LG,원주동부,68,59,,창원LG,1
233,2011-03-01,전주KCC,안양한국인삼공사,83,76,,전주KCC,1
234,2011-03-01,부산KT,대구오리온스,83,71,,부산KT,1
235,2011-03-02,인천전자랜드,서울SK,80,62,,인천전자랜드,1
236,2011-03-03,서울삼성,울산모비스,63,77,,울산모비스,2
237,2011-03-03,부산KT,창원LG,86,82,,부산KT,1
238,2011-03-04,안양한국인삼공사,인천전자랜드,70,84,,인천전자랜드,2
239,2011-03-04,원주동부,전주KCC,71,81,,전주KCC,2
240,2011-03-05,대구오리온스,서울SK,82,77,,대구오리온스,1
241,2011-03-05,울산모비스,창원LG,79,76,,울산모비스,1
242,2011-03-05,서울삼성,부산KT,70,79,,부산KT,2
243,2011-03-06,서울SK,안양한국인삼공사,72,78,,안양한국인삼공사,2
244,2011-03-06,원주동부,인천전자랜드,61,71,,인천전자랜드,2
245,2011-03-06,전주KCC,울산모비스,85,77,,전주KCC,1
246,2011-03-08,서울SK,울산모비스,78,75,,서울SK,1
247,2011-03-08,원주동부,서울삼성,82,64,,원주동부,1
248,2011-03-09,전주KCC,대구오리온스,83,87,,대구오리온스,2
249,2011-03-09,안양한국인삼공사,창원LG,77,84,,창원LG,2
250,2011-03-10,서울삼성,서울SK,77,87,,서울SK,2
251,2011-03-10,인천전자랜드,부산KT,84,80,,인천전자랜드,1
252,2011-03-11,울산모비스,안양한국인삼공사,65,55,,울산모비스,1
253,2011-03-11,대구오리온스,원주동부,93,72,,대구오리온스,1
254,2011-03-12,부산KT,서울SK,83,67,,부산KT,1
255,2011-03-12,인천전자랜드,전주KCC,83,76,,인천전자랜드,1
256,2011-03-12,창원LG,서울삼성,88,81,,창원LG,1
257,2011-03-13,울산모비스,인천전자랜드,75,72,,울산모비스,1
258,2011-03-13,원주동부,부산KT,67,87,,부산KT,2
259,2011-03-13,대구오리온스,안양한국인삼공사,83,64,,대구오리온스,1
260,2011-03-16,창원LG,서울SK,80,67,,창원LG,1
261,2011-03-16,인천전자랜드,서울삼성,78,74,,인천전자랜드,1
262,2011-03-17,전주KCC,부산KT,78,90,,부산KT,2
263,2011-03-19,울산모비스,원주동부,87,83,,울산모비스,1
264,2011-03-19,대구오리온스,창원LG,85,91,,창원LG,2
265,2011-03-19,안양한국인삼공사,서울삼성,71,91,,서울삼성,2
266,2011-03-20,서울SK,전주KCC,77,89,,전주KCC,2
267,2011-03-20,서울삼성,대구오리온스,79,77,,서울삼성,1
268,2011-03-20,부산KT,울산모비스,80,65,,부산KT,1
269,2011-03-20,창원LG,인천전자랜드,94,88,,창원LG,1
270,2011-03-20,원주동부,안양한국인삼공사,75,61,,원주동부,1
,,,,,,,,1.462962963
